Area_Numbe,Num_Homes,Growth_Std,Growth_Mean,Sales_Price_Std,Sales_Price_Mean,Black_Percentage,Population,Male_Proportion,Female_Proportion,Hispanic_Percentage,White_Percentage,Asian_Percentage,Income_Per_Capita,Poverty_Percentage
98,734,8611.174284492989,835.9619827145318,123635.25354219672,269780.49970027246,6.799999999999999,7034.0,0.5018481660506113,0.49815183394938867,2.3999999999999995,85.39999999999999,4.8999999999999995,51523.0,2.3999999999999995
109,376,13108.655456118688,7097.11440132901,95104.06670750427,340811.863383551,3.9500000000000006,9200.5,0.49399489158197923,0.5060051084180207,3.0500000000000003,82.14999999999999,8.150000000000002,43870.0,3.7999999999999994
108,270,8034.1655834487065,-4882.884674968868,51372.31850911725,358430.3683703704,9.35,7374.5,0.4979320631907248,0.5020679368092752,8.200000000000003,72.14999999999998,7.45,38027.0,6.450000000000002
3,346,5809.6802370769765,205.93392619172306,59336.74664080126,251097.61242774565,9.349999999999998,7374.5,0.4979320631907248,0.5020679368092752,8.200000000000003,72.14999999999998,7.449999999999999,38027.0,6.450000000000002
93,789,4982.798236719442,555.7603736853536,62863.60112670645,248928.9792506874,9.33060836501901,7371.9106463878325,0.49796047838560975,0.5020395216143902,8.155893536121676,72.25076045627375,7.430608365019012,38129.631178707226,6.41920152091255
4,336,6618.280264720867,-765.7848341433055,79482.81272566825,301282.9649346608,16.900000000000006,5242.0,0.4864555513162915,0.5135444486837085,19.900000000000006,57.2,3.3,26494.0,23.900000000000006
80,460,3975.7504219171706,-582.4581069073306,89301.44973053748,179038.2574704993,7.695217391304347,4979.808695652174,0.50058846332494,0.49941153667506,26.03173913043478,57.39478260869565,4.805217391304347,33917.42608695652,17.493260869565216
32,461,3923.0553335926706,1884.6033498771035,109899.44746661712,208706.9020178533,3.2000000000000006,2386.0,0.5360435875943,0.4639564124056999,7.799999999999998,79.70000000000003,4.700000000000002,33995.0,11.199999999999998
21,580,6031.773152851276,2444.9657074479155,123954.76902746804,254400.42852632178,2.904827586206897,5541.393103448276,0.6152616919435172,0.38473830805648274,9.054482758620688,78.37172413793103,7.061379310344828,29019.868965517242,27.95103448275862
70,399,7395.217536110785,7012.648114202137,132297.5851132855,424952.78025340755,2.7974937343358404,6651.942355889724,0.6251205199453681,0.37487948005463195,9.483959899749372,77.9345864661654,7.8839598997493745,27291.30827067669,33.81979949874686
20,780,6678.15126343847,5836.882206857902,118497.44930385906,366628.14803567604,2.11051282051282,3957.5897435897436,0.5101790781750094,0.4898209218249906,4.1646153846153835,83.80410256410256,7.133589743589742,45288.7,21.55102564102565
65,295,9447.8139493157,8893.648662872254,124276.22993330115,515500.1545752197,2.15,4124.0,0.5185499515033948,0.4814500484966052,4.3,82.8,7.850000000000001,45638.5,24.050000000000004
62,63,7642.07129451063,2747.318435748101,132584.469391559,367802.7861607143,2.150000000000001,4124.0,0.5185499515033948,0.4814500484966052,4.300000000000002,82.80000000000003,7.850000000000003,45638.5,24.049999999999997
1,647,3061.3443754623004,-1215.51558127296,61405.61846437972,210999.79376377858,9.258191653786708,5531.906491499227,0.48841964564986007,0.5115803543501399,7.220710973724886,76.70981452859351,5.58323029366306,37154.2086553323,10.152936630602783
87,619,3610.8237849565135,-1689.5401355778238,56406.56341947359,225173.31640235483,9.35,7374.5,0.4979320631907248,0.5020679368092752,8.200000000000001,72.14999999999999,7.449999999999998,38027.0,6.450000000000002
92,471,2917.6335653666683,-802.728202827135,66079.16480816796,206217.9375960098,12.093630573248412,6010.426751592357,0.5015339585031109,0.49846604149688917,11.50445859872611,63.268152866242055,10.481528662420379,35727.02547770701,13.873248407643318
2,791,4604.803243421133,-600.8818639177917,76099.1039938675,244051.8927822341,9.200000000000003,4364.0,0.47823098075160403,0.5217690192483959,6.6,79.60000000000002,4.399999999999999,36601.0,12.5
55,194,5680.966914620883,325.50169785575554,86599.86566398643,239681.69851850998,2.899999999999999,3174.0,0.4250157529930687,0.5749842470069313,6.5,86.39999999999999,2.6999999999999997,54055.0,3.399999999999999
18,752,7602.9495607475355,5604.395251893695,113055.8803172617,435890.64864684537,2.899999999999999,3174.0,0.4250157529930687,0.5749842470069313,6.5,86.39999999999999,2.6999999999999997,54055.0,3.399999999999999
17,632,5154.359545123153,3783.3376591786077,113119.80049014384,293517.2181026752,1.8751582278481018,2662.9699367088606,0.40850221361060063,0.5914977863893994,3.190506329113925,91.51946202531649,1.5123417721518986,42498.287974683546,2.0091772151898732
64,228,4825.2118208580905,1673.2668247194179,107069.99315105466,244189.48656745773,3.2355263157894734,3885.842105263158,0.4710114992347388,0.5289885007652612,4.497368421052632,84.64210526315789,5.053947368421054,44076.98684210526,16.253947368421052
63,478,5960.654829217684,4355.566065491449,119287.75202156129,344325.40075061924,2.4261506276150615,4063.4142259414225,0.5069849746075811,0.4930150253924189,4.350209205020919,83.26861924686192,7.138702928870291,45241.261506276154,22.066736401673648
19,336,4856.338440711915,2528.811871703598,97634.27166402194,280988.2160250819,0.3999999999999999,3344.0,0.4748803827751196,0.5251196172248804,5.100000000000001,87.10000000000002,4.600000000000001,44769.0,2.8000000000000007
91,252,5366.690948146325,2705.243220375852,100631.32425197298,273095.5949657899,3.7738095238095233,3767.746031746032,0.4452095480435442,0.5547904519564558,4.595238095238095,85.55555555555556,3.667460317460318,43302.6746031746,12.38809523809524
75,109,7101.301832181155,4942.378170174674,88513.37187315375,435812.0802506239,3.8,3762.0,0.443912812333865,0.5560871876661351,4.600000000000002,85.60000000000001,3.600000000000002,43265.0,12.200000000000001
89,441,5432.295177481678,2319.01406536731,86627.89332824507,259440.2733501473,3.2238095238095235,4115.396825396825,0.46506344737146604,0.534936552628534,4.809523809523809,80.69365079365078,8.419047619047618,42607.793650793654,13.073015873015871
90,350,4453.272418167297,2178.3194922273337,94612.47781193674,272134.70931885607,3.4982857142857147,3947.0514285714285,0.45546042325989455,0.5445395767401054,4.709714285714287,83.03085714285716,6.123428571428573,42920.862857142856,12.65714285714286
61,287,4576.373265179314,2134.6989002783566,91606.84774775381,274926.85314898327,0.39999999999999997,3344.0,0.4748803827751196,0.5251196172248804,5.1000000000000005,87.10000000000001,4.6000000000000005,44769.0,2.8000000000000003
74,430,5348.714138193309,870.7389044417754,86502.70132440444,266157.3499247608,0.4,3344.0,0.4748803827751196,0.5251196172248804,5.100000000000001,87.1,4.600000000000001,44769.0,2.8
