Parcel,Latitude,Longitude
71002306043,43.09728011772791,-89.27751542572166
71002306051,43.0971629896932,-89.27734745201819
71002306069,43.0970458214188,-89.27717581899358
71002306077,43.096872289551094,-89.27712135584879
71002306085,43.096652917554685,-89.27704335736206
71002306093,43.096655428188114,-89.27726975328234
71002307059,43.096280978288796,-89.2770968959518
71002307067,43.09609863459797,-89.27710049025461
71002307075,43.095914159810114,-89.2770992502065
71002308023,43.0955401400663,-89.27786834668896
71002308065,43.0955659565473,-89.27693695161726
71002308073,43.09538652177085,-89.27691457420464
71002308081,43.09520384224075,-89.27691499398131
71002308099,43.095252609717996,-89.27721178702947
71002308106,43.095255962058324,-89.27743325798296
71002308114,43.09525931427525,-89.2776547292105
71002308122,43.095262665528594,-89.27787619350441
71002308130,43.09522293225621,-89.27815396455084
71002309013,43.09628057386529,-89.27652626269388
71002309021,43.096087485448024,-89.27653505677084
71002309039,43.09584710993768,-89.2765171729826
71002309047,43.0955912822966,-89.27632902575328
71002309055,43.095400444090956,-89.27629655201612
71002309063,43.09521040026446,-89.27630062258301
71002309071,43.09522750230875,-89.27588665021986
71002310010,43.09483498432329,-89.27819741363803
71002310028,43.09483398925628,-89.27795199519869
71002310036,43.09483230933966,-89.27773046614863
71002310044,43.09483062943525,-89.27750893745463
71002310052,43.09482894940708,-89.27728740828003
71002310060,43.09482726949837,-89.27706587963854
71002310078,43.09482558970596,-89.27684435154636
71002310086,43.09483346190064,-89.27626745234687
71002310094,43.094838559690025,-89.27604601161363
71002310101,43.09484221129386,-89.27581319207684
71002310119,43.094624431915605,-89.2758122250142
71002310127,43.09460938850909,-89.27603949133145
71002310135,43.094600251862964,-89.27625973392094
71002310143,43.09459030370615,-89.27684401237991
71002310151,43.09458845664445,-89.27706553494993
71002310169,43.094586610148895,-89.2772870577682
71002310177,43.09458476308646,-89.27750858046768
71002310185,43.09458291579467,-89.27773010336128
71002310193,43.09458106896735,-89.27795162618521
71002310200,43.09458650975739,-89.27819299959646
71002311018,43.094170239125226,-89.2781527654166
71002311026,43.094135085103744,-89.27785888094189
71002311034,43.09414103972541,-89.27760321069636
71002311042,43.094145181254895,-89.27734420885272
71002311050,43.09414932233418,-89.27708520700882
71002311068,43.09415346351236,-89.27682620491447
71002311076,43.09416194108507,-89.27629564534539
71002311084,43.094162858682424,-89.27607490455607
71002311092,43.094158650867826,-89.2758357690908
71002311109,43.093862667167215,-89.27583336636756
71002311117,43.093855112696296,-89.27606492230608
71002311125,43.09385173211271,-89.27628639230178
71002311133,43.09384362995996,-89.27681697118919
71002311141,43.09383967606015,-89.27707597903633
71002311159,43.09383572251893,-89.27733498639256
71002311167,43.09383176897767,-89.2775939937488
71002311175,43.0938260415231,-89.27785866944453
71002311183,43.09377420111507,-89.27817973363834
71002311191,43.093974003606746,-89.27817365741033
71002312016,43.092794798345786,-89.27815007286422
71002312024,43.093016458722026,-89.27813495768478
71002312032,43.093200099573906,-89.27813118324332
71002312040,43.093398558770105,-89.2781271319548
71002312058,43.09333776453482,-89.27775677215166
71002312066,43.09334161130422,-89.2775052733137
71002312074,43.093345376710985,-89.27725920048115
71002312082,43.09334896682438,-89.27702438860706
71002312090,43.09335235438303,-89.27680291865973
71002312107,43.09335658287907,-89.27624260161835
71002312115,43.093359963462646,-89.27602113162264
71002312123,43.09335052375389,-89.27577220201479
71002313014,43.097306367362755,-89.27918723675795
71002313022,43.09718139138861,-89.27904635944634
71002313030,43.097054709291235,-89.27890410342472
71002313048,43.096910011944765,-89.27879140785143
71002313056,43.096749938584736,-89.27874278101835
71002314038,43.09527435846989,-89.27879968713873
71002314046,43.095112448900586,-89.27880427222078
71002314054,43.094950539298544,-89.27880885761654
71002314062,43.09478743149062,-89.27883279611301
71002314070,43.09458393086828,-89.27874085269171
71002314088,43.09457415346572,-89.27900404190349
