Parcel,XCoord,YCoord,Total_Assessment
71003207034,843742.5427,492236.105,215000
71003207042,843635.405,492246.1461,229900
71003207050,843985.2856,492236.8567,208000
71003207068,844051.2861,492239.1672,171300
71003207076,844116.665,492241.0831,175800
71003207084,844181.3442,492240.73600000003,191300
71003207092,844274.5508,492293.1788,227100
71003207109,844291.0075,492227.9625,171000
71003207117,844325.5684,492163.9973,197700
71003207125,844325.4055,492084.6333,184900
71003207133,843651.5798,492143.7694,231800
71003207141,843741.2893,492093.6349,223800
71003207159,843832.5859,492101.5238,254700
71003207167,843911.3459999999,492104.4652,241300
71003207175,843981.7836,492102.472,206600
71003207183,844046.3606,492105.1873,240100
71003207191,844111.8848,492106.7488,249700
71003207208,844176.944,492108.7207,227200
71003207216,844241.192,492113.78,238100
71003208016,843935.9328,491771.3491,202800
71003208024,844004.683,491773.8316,178300
71003208032,844072.4926,491775.8015,196900
71003208040,844140.4827,491777.6417,184300
71003208058,844208.6531,491779.6529,160900
71003208066,844276.9264,491781.5317,207400
71003208074,844349.1007,491784.3086,170000
71003208082,844345.9273,491918.0322,222500
71003208090,844273.6665,491916.4049,224700
71003208107,844206.1503,491914.0501,240000
71003208115,844138.7058,491912.77,225300
71003208123,844070.7577,491910.8383,226700
71003208131,844003.2645,491908.8663,217500
71003208149,843935.6953,491907.1865,224200
71003209014,844555.1309,491924.6425,200500
71003209022,844482.7474,491921.7489,230900
71003209030,844486.3061,491787.9941,191700
71003209048,844556.1004,491789.7424,169200
71003210011,844561.9990000001,492405.8091,229000
71003210029,844501.1263,492386.8689,183900
71003210037,844436.7303,492349.2196,199000
71003210045,844511.8391,492276.0961,191700
71003210053,844518.6398,492200.3201,186500
71003210061,844477.6849,492105.0008,212800
71003210079,844553.8056,492106.8793,176200
71003211019,844556.5937,492695.8893,246000
71003211027,844477.2115,492693.1887,197300
71003211035,844386.6004,492698.0165,241300
71003211043,844380.6528,492610.6414,176000
71003211051,844397.3356,492520.6921,205000
71003211069,844483.8492,492580.4023,172500
71003211077,844559.5059999999,492585.1402,187500
71003212017,842466.9244,492725.675,230100
71003212025,842559.5323,492734.0957,221700
71003212033,842641.3636,492733.854,229000
71003212041,842723.6758,492733.7551,222600
71003212059,842805.2347,492733.6579,192200
71003212067,842887.2690000001,492733.4954,225700
71003212075,842970.2805,492733.2936,226700
71003212083,843052.3665,492733.0778,197700
71003212091,843138.9368,492733.8058,225000
71003212190,842354.657,492910.0846,221500
71003212207,842409.0103,492962.3558,284000
