Parcel,Latitude,Longitude
71002311167,43.09383176897767,-89.2775939937488
71002311175,43.0938260415231,-89.27785866944453
71002311183,43.09377420111506,-89.27817973363834
71002311191,43.09397400360675,-89.27817365741033
71002311208,43.094002813697216,-89.27654690838149
71002312016,43.09279479834579,-89.27815007286424
71002312024,43.09301645872203,-89.27813495768478
71002312032,43.093200099573906,-89.27813118324332
71002312040,43.0933985587701,-89.27812713195482
71002312058,43.09333776453483,-89.27775677215166
71002312066,43.09334161130422,-89.27750527331371
71002312074,43.093345376710985,-89.27725920048115
71002312082,43.09334896682438,-89.27702438860707
71002312090,43.09335235438303,-89.27680291865973
71002312107,43.09335658287907,-89.27624260161835
71002312115,43.09335996346265,-89.27602113162264
71002312123,43.09335052375389,-89.2757722020148
71002312131,43.09250694669235,-89.2772920882237
71002312149,43.09287761847041,-89.2775581209834
71002312157,43.09202959301621,-89.27850182459875
71002312165,43.092555039271936,-89.27581339172438
71002313014,43.09730636736276,-89.27918723675793
71002313022,43.09718139138861,-89.27904635944633
71002313030,43.09705470929124,-89.27890410342472
71002313048,43.09691001194476,-89.27879140785143
71002313056,43.09674993858474,-89.27874278101834
71002313064,43.09658834316218,-89.2787577518439
71002313072,43.09642692771654,-89.2787670461307
71002313080,43.09626501826998,-89.27877163130329
71002313098,43.09610310893,-89.27877621662005
71002313105,43.095934804788165,-89.2787823447026
71002313113,43.0972093028235,-89.28019885412422
71002314012,43.09560461291213,-89.27879169557093
71002314020,43.09543626791646,-89.2787951019662
71002314038,43.095274358469894,-89.27879968713874
71002314046,43.095112448900586,-89.27880427222078
71002314054,43.09495053929855,-89.27880885761654
71002314062,43.094787431490616,-89.27883279611301
71002314070,43.09458393086828,-89.27874085269171
71002314088,43.094574153465715,-89.2790040419035
71002314096,43.09463228309832,-89.27922710194188
71002314103,43.09463196368636,-89.27944871117055
71002314111,43.094631644379746,-89.27967019491481
71002314129,43.09463089004797,-89.27989202039309
71002314137,43.09462795861275,-89.28011149759688
71002314145,43.094655822235744,-89.28033512781549
71002314153,43.09467979418234,-89.28080343920882
71002314161,43.09443737982204,-89.2810282915379
71002314179,43.09419302499738,-89.28094848557804
71002314187,43.09403341856796,-89.28093091570992
71002314195,43.09387102229654,-89.28094232449163
71002314202,43.09370911313297,-89.28094693214047
71002314210,43.09354720394035,-89.28095153972713
71002314228,43.09338529480906,-89.28095614697823
71002314236,43.0932234930494,-89.28094509476344
71002314244,43.093066369866136,-89.28097482587089
71002314252,43.09291062701874,-89.28102992055922
71002314260,43.09273992637531,-89.2810757909665
71002314278,43.092552757550834,-89.28095324766437
71002314286,43.09237862600643,-89.28095066779217
71002314294,43.09247010175195,-89.2812484528063
71002315010,43.0924370982431,-89.28044012389391
71002315028,43.092658266726026,-89.28034384712082
71002315036,43.09281608522499,-89.28027266387411
71002315044,43.09297554911562,-89.28019445823482
71002315052,43.0931472866931,-89.28014401140689
71002315060,43.09331720438575,-89.28014066673165
71002315078,43.09347973845925,-89.28013669994465
71002315086,43.093641647844606,-89.28013211477096
71002315094,43.09380355744576,-89.28012752936165
71002315101,43.09398406311189,-89.28013560048475
71002315119,43.09413168965918,-89.27994987181553
71002315127,43.09412268584444,-89.27967757733168
71002315135,43.09389140227779,-89.27974924499071
71002315143,43.09370205758547,-89.27975511542462
71002315151,43.093512316265304,-89.27976023553288
71002315169,43.09332296569402,-89.27976559725333
71002315177,43.09312860764358,-89.27976708593681
